"행정구역","2025년04월_남_총인구수","2025년04월_남_연령구간인구수","2025년04월_남_0~9세","2025년04월_남_10~19세","2025년04월_남_20~29세","2025년04월_남_30~39세","2025년04월_남_40~49세","2025년04월_남_50~59세","2025년04월_남_60~69세","2025년04월_남_70~79세","2025년04월_남_80~89세","2025년04월_남_90~99세","2025년04월_남_100세 이상","2025년04월_여_총인구수","2025년04월_여_연령구간인구수","2025년04월_여_0~9세","2025년04월_여_10~19세","2025년04월_여_20~29세","2025년04월_여_30~39세","2025년04월_여_40~49세","2025년04월_여_50~59세","2025년04월_여_60~69세","2025년04월_여_70~79세","2025년04월_여_80~89세","2025년04월_여_90~99세","2025년04월_여_100세 이상"
"광주광역시 광산구 본량동(2920069000)","913","913","7","33","50","43","92","201","230","142","101","14","0","892","892","13","38","33","38","61","111","178","167","213","38","2"
"광주광역시 광산구 신창동(2920070000)","17,161","17,161","1,292","2,511","2,685","2,232","3,156","3,285","1,358","461","165","16","0","16,294","16,294","1,253","2,343","2,318","1,997","3,256","3,030","1,162","566","303","66","0"
"대전광역시  (3000000000)","717,423","717,423","46,064","69,930","99,768","102,174","105,741","121,355","100,353","50,651","19,291","2,058","38","721,970","721,970","43,443","66,176","91,331","89,917","105,523","121,806","106,690","59,172","31,524","6,211","177"
"대전광역시 동구 (3011000000)","111,001","111,001","6,108","9,684","15,004","13,862","15,652","19,131","17,292","9,841","4,038","378","11","109,359","109,359","5,628","9,213","13,212","11,693","14,429","17,424","18,110","11,792","6,642","1,181","35"
"대전광역시 동구 중앙동(3011051500)","2,010","2,010","23","41","121","164","215","424","552","335","122","13","0","1,546","1,546","33","48","97","109","106","195","353","344","227","33","1"
"대전광역시 동구 효동(3011053000)","14,284","14,284","1,331","1,801","1,469","2,078","2,453","2,332","1,568","898","333","21","0","14,730","14,730","1,224","1,676","1,312","2,058","2,566","2,301","1,859","1,109","520","102","3"
"대전광역시 동구 신인동(3011054500)","7,075","7,075","567","571","672","1,129","1,042","1,136","993","679","259","25","2","7,426","7,426","519","448","611","1,093","1,005","1,175","1,258","825","423","68","1"
"대전광역시 동구 판암1동(3011055100)","5,614","5,614","283","413","595","677","738","977","1,053","591","252","34","1","6,079","6,079","259","383","546","585","715","1,047","1,166","738","521","116","3"
"대전광역시 동구 판암2동(3011055200)","3,774","3,774","69","158","296","359","438","675","878","611","266","23","1","3,984","3,984","65","147","254","254","297","563","972","784","548","99","1"
"대전광역시 동구 용운동(3011056000)","10,522","10,522","654","831","1,694","1,471","1,426","1,750","1,599","787","290","19","1","10,265","10,265","622","852","1,487","1,241","1,268","1,730","1,646","915","413","89","2"
"대전광역시 동구 대동(3011058500)","6,715","6,715","492","759","724","750","1,072","1,139","946","568","237","25","3","6,758","6,758","435","710","633","715","1,040","1,098","1,060","614","386","65","2"
